;0
1202;735018.6384433578
1203;1251726.4438054897
1204;-864289.16262152
1205;2405266.247337428
1206;-1989491.3334434852
1207;-915303.9941793646
1208;287548.9380095666
1209;-126802.20284717903
1210;-1818057.9032991603
1211;1959784.3670043044
1212;64409.891105894
1213;-687408.370863812
1214;-1025218.7564993976
1215;4181050.3233071184
1216;617607.673879141
1217;-943565.3009550627
1218;-1936967.848486083
1219;-8046.940785448533
1220;-788896.0651718462
1221;-671850.462274159
1222;1016170.4834558486
1223;50433.25484689558
1224;794697.7901998078
1225;791171.0995424492
1226;-1178580.8854727577
1227;-492252.46605504444
1228;840999.7654028032
1229;2098973.322401736
1230;-2860071.9089018507
1231;961495.7270391043
1232;308998.4078379278
1233;-1168395.9877086356
1234;1779212.2070342372
1235;-1164373.4763102974
1236;2394065.5897266953
1237;3070612.070735513
1238;-1149567.3592335628
1239;964598.5540117975
1240;312566.7371110376
1241;-5092554.288562065
1242;-653342.0778711475
1243;2220632.0580624565
1244;-967086.4179599412
1245;90978.43864008412
1246;937339.1604955606
1247;2182749.832050522
1248;934296.2317945301
1249;2325106.4048754806
1250;-301672.66840732563
1251;101970.48972099228
1252;-1163952.188561799
1253;-573326.3206687334
1254;-1662981.435814687
1255;903999.9816620676
1256;664467.0321210357
1257;-717911.6762993401
1258;335176.47086504754
1259;-1249744.141247091
1260;-1369635.1446374282
1261;-787757.5735369921
1262;-812926.4367725123
1263;-232199.64247121383
1264;-1438324.508950417
1265;-1112107.4534440893
1266;-183464.9327519061
1267;5739581.082500717
1268;-564790.887092408
